"","Site","Species","TT_ID","Timestamp","Bat_mV","Tair","RH","VPD","Tref_0","Accel","Theta","Psi","Phi","Osc_fct","growth","StWC","Fd","Fdh","DBH","Flux","NDVI","AS7263_610_R","AS7263_680_R","AS7263_760_R","AS7263_810_R","AS7263_860_R","AS7262_450_R","AS7262_500_R","AS7262_550_R","AS7262_570_R","AS7262_600_R","AS7262_650_R","lat","lon","charge","CloudName","TTver","years","months","doys","hours"
"1","Sevkabelport","Populus nigra","22AC9701",2022-08-23 16:30:00,4044.14161596659,25.6,56,1.18046277717461,22.6568725234143,4109.25236509027,73.6757432682723,88.0057318623372,73.5475756200694,0,0,-1.50251227208113,8.10854679575489e-06,29.1907684647176,141,4.89646767430586,0.550937429410436,0.0314240359232071,0.0348707694196683,0.100920005963814,0.120433955148613,0.126029415633962,0.0977276115803229,0.101691793616965,0.0716096157725331,0.0850018856175617,0.0582261162417449,0.0965787004148359,60.00087,30.3829,1,"C18AC097",3,2022,8,235,16
"2","Sevkabelport","Populus nigra","22AC9701",2022-08-23 18:00:00,4039.64708259435,25.9,65,0.953997012891193,23.4443517874176,4111.26501213434,73.901654041943,89.7212731101897,73.8991094714669,0,0,-1.48606689782121,2.09724761670328e-05,75.5009142013179,141,12.664544484813,0.587135544179835,0.0228252074591197,0.0349058201456448,0.13926575466195,0.134185123158271,0.170953841521931,0.0757390437122481,0.0950454434262274,0.0604971492012118,0.077338501778221,0.0472310558304951,0.0682498165327513,60.00087,30.3829,1,"C18AC097",3,2022,8,235,18
"3","Sevkabelport","Populus nigra","22AC9701",2022-08-23 19:30:00,4039.44952068787,23.2,73,0.637422183251822,23.3970860326912,4110.29950246938,73.8977697467515,89.7351473567711,73.8954726717053,0,0,-1.47758470731656,1.58538248519758e-06,5.7073769467113,141,0.957357006836878,0.493051695386326,0.0275165447579241,0.0397074190177638,0.117032392894462,0.116945315221177,0.151253918495298,0.0970916057122954,0.107105538140021,0.0656565656565657,0.0721873911529084,0.0602577499129223,0.0816788575409265,60.00087,30.3829,1,"C18AC097",3,2022,8,235,19
"4","Sevkabelport","Populus nigra","22AC9701",2022-08-23 21:00:00,4035.20193969872,21.6,78,0.476386560704078,21.51917628465,4109.33425264969,73.8938845963546,89.7490281233357,73.8918224175016,0,0,-1.47671168289678,1.87840360548261e-06,6.7622529797374,141,1.13430220793206,0.333333333333333,0.179487179487179,0.0128205128205128,0.0384615384615385,0.0256410256410256,0.0256410256410256,0.115384615384615,0.0897435897435897,0.0897435897435897,0.153846153846154,0.192307692307692,0.0384615384615385,60.00087,30.3829,1,"C18AC097",3,2022,8,235,21
"5","Sevkabelport","Populus nigra","22AC9701",2022-08-23 22:30:00,4033.72022540017,21,83,0.356293599177669,21.0411781373621,4109.33875459301,73.8939027211822,89.7350854347824,73.8916050643101,0,0,-1.47709258531074,0,0,141,0,-1,0.25,0.0178571428571429,0,0,0,0.0714285714285714,0.0535714285714286,0.107142857142857,0.196428571428571,0.25,0.0178571428571429,60.00087,30.3829,1,"C18AC097",3,2022,8,235,22
"6","Sevkabelport","Populus nigra","22AC9701",2022-08-24 00:00:00,4033.47327301708,20.4,88,0.243391084950918,20.5990570099424,4108.65561954272,73.8766363595758,89.7350413878407,73.8743401345361,0,0,-1.47501268675689,0,0,141,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.00087,30.3829,1,"C18AC097",3,2022,8,236,0
"7","Sevkabelport","Populus nigra","22AC9701",2022-08-24 01:30:00,4033.42388254047,20.3,89,0.221890052552174,20.3934911950996,4108.37802544995,73.8900338870384,89.7350234850407,73.8877356480457,0,0,-1.48074225980863,1.32096664035738e-06,4.75547990528658,141,0.797685530622159,-1,0.25,0.0178571428571429,0,0,0,0.0714285714285714,0.0535714285714286,0.107142857142857,0.196428571428571,0.25,0.0178571428571429,60.00087,30.3829,1,"C18AC097",3,2022,8,236,1
"8","Sevkabelport","Populus nigra","22AC9701",2022-08-24 03:00:00,4033.37449206385,20.2,89,0.220677440821202,20.2647267842937,4109.33875459301,73.8939027211822,89.7350854347824,73.8916050643101,0,0,-1.47279049678893,5.57782883820379e-07,2.00801838175336,141,0.336825565505455,NA,0.311111111111111,0,0,0,0,0,0,0.111111111111111,0.222222222222222,0.311111111111111,0,60.00087,30.3829,1,"C18AC097",3,2022,8,236,3
"9","Sevkabelport","Populus nigra","22AC9701",2022-08-24 04:30:00,4033.32510158723,20.6,84,0.328091584500473,20.2242277886699,4108.65111685088,73.8766182082188,89.7489863945626,73.8745573144802,0,0,-1.47925913235127,5.79142209011048e-07,2.08491195243977,141,0.349723714578955,-1,0.304347826086957,0.0217391304347826,0,0,0,0,0,0.108695652173913,0.217391304347826,0.304347826086957,0,60.00087,30.3829,1,"C18AC097",3,2022,8,236,4
"10","Sevkabelport","Populus nigra","22AC9701",2022-08-24 06:00:00,4032.88058729767,20.8,79,0.435351078559647,20.3211448476896,4109.61178215169,73.8804899260567,89.749045072028,73.8784295543222,0,0,-1.47944541825098,1.35091398091609e-06,4.86329033129792,141,0.81576968166312,0.377431906614786,0.0286307053941909,0.033195020746888,0.0697095435684647,0.0734439834024896,0.0804979253112033,0.17344398340249,0.180912863070539,0.0784232365145228,0.0867219917012448,0.0547717842323651,0.0887966804979253,60.00087,30.3829,1,"C18AC097",3,2022,8,236,6
